Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
206,Denair II,San Joaquin Valley,8/26/2025,0100,238,0.07, ,0.00, ,0, ,1.5, ,21.9, ,58, ,13.3, ,3.1, ,341, ,24.5, 
206,Denair II,San Joaquin Valley,8/26/2025,0200,238,0.05, ,0.00, ,0, ,1.5, ,20.9, ,59, ,12.6, ,2.1, ,314, ,24.5, 
206,Denair II,San Joaquin Valley,8/26/2025,0300,238,0.03, ,0.00, ,0, ,1.5, ,19.6, ,66, ,13.1, ,1.3, ,257, ,24.5, 
206,Denair II,San Joaquin Valley,8/26/2025,0400,238,0.03, ,0.00, ,0, ,1.5, ,19.1, ,68, ,13.0, ,1.5, ,276, ,24.5, 
206,Denair II,San Joaquin Valley,8/26/2025,0500,238,0.01, ,0.00, ,0, ,1.5, ,17.8, ,76, ,13.5, ,1.2, ,62, ,24.4, 
206,Denair II,San Joaquin Valley,8/26/2025,0600,238,0.01, ,0.00, ,3, ,1.5, ,17.6, ,75, ,13.2, ,0.9, ,44, ,24.4, 
206,Denair II,San Joaquin Valley,8/26/2025,0700,238,0.02, ,0.00, ,19, ,1.6, ,18.1, ,75, ,13.7, ,1.0, ,340, ,24.4, 
206,Denair II,San Joaquin Valley,8/26/2025,0800,238,0.13, ,0.00, ,181, ,1.6, ,21.1, ,66, ,14.4, ,1.9, ,329, ,24.3, 
206,Denair II,San Joaquin Valley,8/26/2025,0900,238,0.04, ,0.00, ,50, ,1.6, ,21.7, ,63, ,14.5, ,1.6, ,319, ,24.2, 
206,Denair II,San Joaquin Valley,8/26/2025,1000,238,0.00, ,0.10, ,36, ,1.8, ,21.5, ,70, ,15.8, ,1.6, ,9, ,24.2, 
206,Denair II,San Joaquin Valley,8/26/2025,1100,238,0.01, ,0.00, ,77, ,1.9, ,20.7, ,77, ,16.5, ,1.9, ,46, ,24.2, 
206,Denair II,San Joaquin Valley,8/26/2025,1200,238,0.38, ,0.00, ,545, ,1.9, ,23.0, ,69, ,17.1, ,2.2, ,14, ,24.1, 
206,Denair II,San Joaquin Valley,8/26/2025,1300,238,0.61, ,0.00, ,788, ,2.0, ,26.3, ,59, ,17.8, ,2.6, ,18, ,24.1, 
206,Denair II,San Joaquin Valley,8/26/2025,1400,238,0.67, ,0.00, ,759, ,1.9, ,30.8, ,43, ,16.8, ,3.3, ,3, ,24.0, 
206,Denair II,San Joaquin Valley,8/26/2025,1500,238,0.60, ,0.00, ,658, ,2.0, ,32.5, ,40, ,17.1, ,3.1, ,31, ,24.0, 
206,Denair II,San Joaquin Valley,8/26/2025,1600,238,0.48, ,0.00, ,514, ,2.0, ,33.0, ,40, ,17.6, ,3.2, ,28, ,24.0, 
206,Denair II,San Joaquin Valley,8/26/2025,1700,238,0.31, ,0.00, ,341, ,2.1, ,33.6, ,39, ,17.9, ,2.0, ,10, ,24.0, 
206,Denair II,San Joaquin Valley,8/26/2025,1800,238,0.16, ,0.00, ,153, ,2.0, ,33.4, ,40, ,17.8, ,1.7, ,296, ,24.0, 
206,Denair II,San Joaquin Valley,8/26/2025,1900,238,0.08, ,0.00, ,21, ,2.0, ,29.6, ,48, ,17.3, ,1.9, ,302, ,24.1, 
206,Denair II,San Joaquin Valley,8/26/2025,2000,238,0.09, ,0.00, ,0, ,1.8, ,27.5, ,50, ,16.2, ,4.0, ,320, ,24.1, 
206,Denair II,San Joaquin Valley,8/26/2025,2100,238,0.10, ,0.00, ,0, ,1.6, ,25.2, ,50, ,14.0, ,4.5, ,340, ,24.2, 
206,Denair II,San Joaquin Valley,8/26/2025,2200,238,0.08, ,0.00, ,0, ,1.6, ,23.4, ,55, ,14.0, ,4.2, ,344, ,24.2, 
206,Denair II,San Joaquin Valley,8/26/2025,2300,238,0.06, ,0.00, ,0, ,1.5, ,21.9, ,58, ,13.2, ,3.6, ,340, ,24.2, 
206,Denair II,San Joaquin Valley,8/26/2025,2400,238,0.04, ,0.00, ,0, ,1.5, ,20.7, ,60, ,12.8, ,2.8, ,325, ,24.2, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
